id,type,name,creator,starring,year,rating,time,genres
81644420,Movie,Hunt,,"Lee Jung-jae, Jung Woo-sung, Jeon Hye-jin",2022,TV-14,125 min,"Drama Movies ,Action & Adventure Movies ,Spy Movies"
70208104,Movie,Safe House,,"Denzel Washington, Ryan Reynolds, Vera Farmiga",2012,TV-14,114 min,"Action & Adventure Movies ,Spy Movies "
70297761,Movie,Commitment,,"Choi Seung-hyun, Han Ye-ri, Yoon Je-moon",2013,TV-14,112 min,"Action & Adventure Movies ,Spy Movies"
81030199,Movie,Switch,,"Andy Lau, Lin Chi-ling, Zhang Jingchu",2013,TV-MA,112 min,"Action & Adventure Movies ,Spy Movies "
81478004,Movie,Yaksha: Ruthless Operations,,"Sul Kyung-gu, Park Hae-soo, Hiroyuki Ikeuchi",2022,TV-14,125 min,"Crime Movies ,Action & Adventure Movies ,Spy Movies"
81387252,Movie,Codename: Tiranga,,"Parineeti Chopra, Harrdy Sandhu, Sharad Kelkar",2022,TV-14,134 min,"Bollywood Movies ,Action & Adventure Movies ,Spy Movies"
80170988,Movie,Atomic Blonde,,"Charlize Theron, James McAvoy, Eddie Marsan",2017,TV-MA,114 min,"Action & Adventure Movies ,Spy Movies "
70284278,Movie,Jack Ryan: Shadow Recruit,,"Chris Pine, Keira Knightley, Kevin Costner",2014,TV-PG,106 min,"Action & Adventure Movies ,Spy Movies "
70270715,Movie,The Berlin File,,"Ha Jung-woo, Han Seok-kyu, Ryoo Seung-bum",2013,TV-14,120 min,"Action & Adventure Movies ,Spy Movies"
80080490,Movie,The Throwaways,,"Sam Huntington, Katie McGrath, Kevin Dillon",2015,TV-14,87 min,"Comedy Movies ,Action & Adventure Movies ,Spy Movies "
80065809,Movie,IRIS New Generation: The Movie,,"Jang Hyuk, Lee Da-hae, Yoon Du-jun",2013,TV-14,118 min,"Crime Movies ,Action & Adventure Movies ,Spy Movies"
80232040,Movie,The Spy Who Dumped Me,,"Mila Kunis, Kate McKinnon, Sam Heughan",2018,TV-MA,116 min,"Comedy Movies ,Action & Adventure Movies ,Spy Movies "
